hip,ra,dec,mag,spect,con,proper,dist,bayer
5034,1.074339,29.658806,6.2,F7IV-V,Psc,,44.287,
5042,1.075717,-33.532845,6.44,K0III,Scl,,163.6661,
5074,1.081288,5.656262,6.03,K5III,Psc,,199.6008,
5081,1.084821,14.946133,5.64,F4II-III,Psc,,54.5852,
5121,1.093579,-9.979323,6.09,K0III,Cet,,92.9368,
5131,1.094709,21.473181,5.33,A1Vn,Psc,,84.317,Psi-1
5132,1.094919,21.465442,5.55,A0Vn,Psc,,85.9107,Psi-1
5141,1.097008,4.908372,6.35,F4V...,Psc,,40.6339,
5165,1.101407,-46.718414,3.32,G8IIIvar,Phe,,100000.0,Bet
5164,1.10143,-9.839354,5.58,A1V,Cet,,180.8318,
5170,1.102141,-23.992451,6.12,K1III,Cet,,117.3709,
5175,1.103111,32.181485,6.28,K0,Psc,,172.7116,
5204,1.109341,12.956039,6.14,G8III,Psc,,133.3333,
5240,1.116702,56.934972,6.41,K2III...,Cas,,99.108,
5251,1.119292,53.498185,6.31,K0,Cas,,512.8205,
5259,1.120255,-23.996334,6.36,A3III,Cet,,68.7758,
5268,1.121838,-61.775289,5.36,G5III,Tuc,,93.2836,Iot
5296,1.129502,-9.78555,5.71,F7IV,Cet,,47.1476,
5300,1.129957,-41.486916,5.21,A3V,Phe,,56.9476,Ups
5310,1.132544,20.739113,5.56,A3V,Psc,,47.3037,Psi-2
5315,1.13324,1.993042,6.44,K0IV,Cet,,48.4731,
5317,1.133559,43.942092,5.04,A3m,And,,58.9623,
5319,1.133701,32.01213,6.23,F5IV,Psc,,41.3907,
5336,1.137477,54.92034,5.17,G5Vp,Cas,,7.554,Mu
5346,1.1395,5.649819,5.51,F0III-IV,Psc,,35.2113,
5348,1.139742,-55.24576,3.94,B6V + B0V,Phe,Wurren,91.5751,Zet
5361,1.142627,58.263449,5.77,B8V,Cas,,184.8429,
5364,1.143164,-10.182264,3.46,K2III,Cet,,37.9939,Eta
5372,1.145613,86.25709,4.24,K2II-III,Cep,,85.9107,
5412,1.15341,80.011579,6.24,K0,Cep,,135.318,
5434,1.158368,47.241792,4.26,B7III,And,,219.7802,Phi
5447,1.162194,35.620558,2.07,M0IIIvar,And,Mirach,60.5327,Bet
5454,1.163667,19.658408,5.57,G0III,Psc,,115.4734,Psi-3
5477,1.168715,-57.694419,6.41,G6II/III,Phe,,125.6281,
5483,1.169845,15.673912,6.07,M0III,Psc,,165.0165,
5485,1.169985,-8.906135,6.4,K0III,Cet,,118.624,
5493,1.17188,42.081475,5.67,F8V,And,,52.2739,
5494,1.17207,25.457763,5.81,K5III,Psc,,120.7729,
5510,1.175987,2.44567,5.97,K4III,Cet,,235.2941,
5518,1.177579,68.778621,5.32,A0Vnn,Cas,,84.8896,
5542,1.185017,55.149901,4.34,A7Vvar,Cas,,40.95,The
5544,1.185213,31.424736,5.15,F0V,Psc,,147.2754,
5550,1.186189,37.724121,5.8,B7III-IV,And,,242.1308,
5566,1.190428,64.202677,5.56,B9.5V,Cas,,124.0695,
